Graph Size,Density,Dijkstra Basic Form List,Dijkstra Basic Form Matrix,Dijkstra Binary Heap List,Dijkstra Binary Heap Matrix,Dijkstra Balanced BST List,Dijkstra Balanced BST Matrix
5,0,5.42e-07,5e-07,5.83e-07,5e-07,5.83e-07,5e-07
5,0.1,7.5e-07,6.67e-07,7.5e-07,6.67e-07,1.042e-06,9.16e-07
5,0.1,6.25e-07,5e-07,6.25e-07,5e-07,5.42e-07,5.42e-07
5,0,5.42e-07,5e-07,6.25e-07,5.41e-07,6.25e-07,5.41e-07
5,0.1,7.09e-07,6.67e-07,7.5e-07,7.08e-07,1e-06,9.59e-07
5,0.1,5.41e-07,5.42e-07,5.84e-07,5.84e-07,5.84e-07,5.42e-07
5,0.2,1.292e-06,8.33e-07,1.209e-06,1.083e-06,1.666e-06,1.375e-06
5,0.2,5.42e-07,5e-07,5.84e-07,5.42e-07,5e-07,5e-07
5,0.1,5.41e-07,4.58e-07,5.42e-07,5e-07,5.83e-07,5e-07
5,0,5.42e-07,5e-07,5.41e-07,5e-07,5.42e-07,5.84e-07
5,0,5.41e-07,5.83e-07,5.41e-07,5.42e-07,5.84e-07,5.42e-07
5,0.1,5.83e-07,5e-07,5.83e-07,5e-07,5.42e-07,5.42e-07
5,0.1,7.08e-07,6.66e-07,7.08e-07,7.5e-07,9.59e-07,9.17e-07
5,0.1,5.41e-07,4.58e-07,5.84e-07,5.42e-07,5.83e-07,5.41e-07
5,0,5.42e-07,5e-07,5.83e-07,5e-07,5.42e-07,5.84e-07
5,0.1,5.42e-07,5e-07,5.42e-07,5e-07,5.41e-07,5e-07
5,0.1,5.42e-07,5e-07,5.42e-07,5e-07,5e-07,5e-07
5,0,5.41e-07,5.42e-07,5.84e-07,5e-07,5.83e-07,5.42e-07
5,0.2,7.08e-07,7.92e-07,6.67e-07,7.5e-07,7.92e-07,8.75e-07
5,0.2,9.58e-07,9.16e-07,9.58e-07,8.75e-07,1.291e-06,1.166e-06
5,0.1,9.17e-07,7.92e-07,7.91e-07,7.08e-07,9.58e-07,9.58e-07
5,0,5.83e-07,5.41e-07,5.41e-07,5.41e-07,5.41e-07,5.83e-07
5,0,5.84e-07,5e-07,5.83e-07,5.83e-07,5.41e-07,5.41e-07
5,0,5.42e-07,5e-07,6.25e-07,5.83e-07,5.41e-07,5e-07
5,0.1,5.42e-07,5e-07,5.41e-07,5.42e-07,5.83e-07,5.83e-07
5,0.4,2.125e-06,1.083e-06,2.084e-06,1.75e-06,2.416e-06,2.208e-06
5,0.1,7.92e-07,7.09e-07,7.92e-07,7.09e-07,1.042e-06,1e-06
5,0,5.42e-07,5.42e-07,5.84e-07,5.42e-07,5.84e-07,5.83e-07
5,0.2,5.41e-07,5e-07,5.83e-07,6.25e-07,5.42e-07,5.84e-07
5,0.4,1.584e-06,1e-06,1.459e-06,1.375e-06,1.916e-06,1.792e-06
5,0,5.42e-07,5e-07,5.41e-07,6.25e-07,6.25e-07,5.84e-07
5,0.1,5.83e-07,5.41e-07,5.41e-07,5.41e-07,6.25e-07,5.84e-07
5,0,5.42e-07,5e-07,5.84e-07,5.84e-07,6.25e-07,5.42e-07
5,0.1,7.5e-07,7.08e-07,7.91e-07,7.5e-07,1e-06,1.042e-06
5,0.2,7.08e-07,7.09e-07,8.75e-07,7.92e-07,1e-06,9.17e-07
5,0.1,5.83e-07,5e-07,5.42e-07,5.42e-07,5.84e-07,5.84e-07
5,0,5.83e-07,5e-07,5.42e-07,5.42e-07,5.84e-07,5.42e-07
5,0.1,5.42e-07,4.58e-07,5.84e-07,5.42e-07,5.84e-07,5.84e-07
5,0.1,7.5e-07,7.09e-07,7.5e-07,6.66e-07,1.125e-06,9.59e-07
5,0.1,7.09e-07,7.08e-07,8.33e-07,7.08e-07,1e-06,9.17e-07
5,0.2,7.5e-07,7.08e-07,7.5e-07,7.09e-07,9.59e-07,9.59e-07
5,0.1,7.08e-07,5.42e-07,5.83e-07,5.42e-07,5.83e-07,5e-07
5,0.1,5.84e-07,4.59e-07,5.83e-07,5.41e-07,5.83e-07,5.41e-07
5,0.1,5.83e-07,5.83e-07,5.83e-07,5.42e-07,5.84e-07,5.42e-07
5,0.2,7.5e-07,7.08e-07,7.92e-07,6.67e-07,1e-06,1e-06
5,0,5.41e-07,5.41e-07,6.25e-07,5.41e-07,5.83e-07,5.41e-07
5,0.1,6.25e-07,5.42e-07,5.41e-07,5e-07,5.83e-07,5e-07
5,0.2,6.25e-07,5.42e-07,5.84e-07,5.84e-07,6.25e-07,5.42e-07
5,0.1,6.25e-07,5.42e-07,6.25e-07,5.42e-07,5.84e-07,5.42e-07
5,0.1,5.42e-07,5.42e-07,6.25e-07,5.42e-07,5.83e-07,5e-07
5,0.1,5.42e-07,5.42e-07,6.25e-07,5e-07,5.83e-07,5e-07
5,0,5.42e-07,5e-07,5.83e-07,5.42e-07,5.84e-07,5.84e-07
5,0.1,7.5e-07,7.09e-07,7.92e-07,7.09e-07,9.58e-07,9.17e-07
5,0,5.83e-07,5e-07,5.42e-07,5e-07,5.84e-07,5.84e-07
5,0.1,5.83e-07,5e-07,6.25e-07,5.84e-07,5.83e-07,5.83e-07
5,0,5e-07,5.42e-07,5.42e-07,5.42e-07,5.83e-07,5.83e-07
5,0.1,5.83e-07,5.42e-07,5.84e-07,5.42e-07,6.25e-07,5.41e-07
5,0.1,5.42e-07,6.25e-07,5.84e-07,5.42e-07,5.83e-07,5e-07
5,0.1,7.5e-07,6.67e-07,7.5e-07,6.66e-07,9.58e-07,1e-06
5,0.2,5.42e-07,5.42e-07,5.84e-07,5.84e-07,6.25e-07,6.25e-07
5,0.2,5.83e-07,5.41e-07,5.83e-07,5.83e-07,5.41e-07,5e-07
5,0.2,7.92e-07,7.5e-07,7.5e-07,7.5e-07,1e-06,9.17e-07
5,0.3,7.92e-07,6.66e-07,7.5e-07,7.09e-07,1e-06,9.16e-07
5,0.2,9.17e-07,8.33e-07,9.59e-07,8.75e-07,1.458e-06,1.417e-06
5,0,5.83e-07,5e-07,5.84e-07,5.42e-07,5.84e-07,5.42e-07
5,0,5.42e-07,5e-07,5.83e-07,5.41e-07,5.42e-07,5.42e-07
5,0,5.83e-07,5e-07,5.84e-07,5.42e-07,6.25e-07,5.41e-07
5,0.1,7.08e-07,7.09e-07,7.08e-07,7.08e-07,9.59e-07,9.58e-07
5,0.4,1.833e-06,1.125e-06,1.917e-06,1.792e-06,2.084e-06,2e-06
5,0,5.83e-07,5.83e-07,5.83e-07,5.83e-07,5.83e-07,5.42e-07
5,0,5.83e-07,5e-07,5.83e-07,5.83e-07,6.25e-07,5.83e-07
5,0.1,7.5e-07,7.09e-07,7.92e-07,6.67e-07,1e-06,9.58e-07
5,0.2,7.92e-07,6.67e-07,8.34e-07,7.92e-07,1e-06,1e-06
5,0.1,5.42e-07,5.42e-07,5.84e-07,5.42e-07,5.84e-07,5e-07
5,0.1,7.5e-07,7.5e-07,7.91e-07,7.5e-07,1.083e-06,9.17e-07
5,0.1,7.5e-07,6.67e-07,7.5e-07,7.08e-07,1e-06,9.16e-07
5,0.1,7.91e-07,7.08e-07,7.5e-07,7.08e-07,1e-06,9.17e-07
5,0.2,7.92e-07,6.67e-07,7.91e-07,7.08e-07,1e-06,8.75e-07
5,0.1,7.92e-07,7.08e-07,7.5e-07,6.66e-07,9.58e-07,1e-06
5,0.2,7.92e-07,7.08e-07,7.08e-07,7.09e-07,1e-06,9.58e-07
5,0,5.83e-07,5.41e-07,5.83e-07,5.41e-07,5.41e-07,5.83e-07
5,0.2,7.92e-07,6.66e-07,8.33e-07,6.67e-07,9.58e-07,9.17e-07
5,0.1,5.41e-07,5e-07,5.42e-07,5.42e-07,6.25e-07,5.41e-07
5,0.3,1.542e-06,1.084e-06,1.417e-06,1.333e-06,2.042e-06,1.833e-06
5,0,5.84e-07,5.83e-07,5.83e-07,5.84e-07,5.83e-07,6.25e-07
5,0,5.83e-07,5.41e-07,6.25e-07,5.83e-07,5.84e-07,5.42e-07
5,0.3,1e-06,1e-06,1.125e-06,9.59e-07,1.833e-06,1.75e-06
5,0,5.84e-07,5.42e-07,5.83e-07,5.42e-07,5.83e-07,5.83e-07
5,0,5.83e-07,5.41e-07,5.83e-07,5.41e-07,5.42e-07,5.83e-07
5,0,5.84e-07,5e-07,5.41e-07,5.41e-07,5.41e-07,5.83e-07
5,0.1,5.42e-07,5.42e-07,5.41e-07,5.83e-07,5.83e-07,5e-07
5,0.1,7.92e-07,7.5e-07,7.92e-07,7.08e-07,9.58e-07,1e-06
5,0.2,5.83e-07,5.42e-07,5.42e-07,5.83e-07,5.42e-07,5.41e-07
5,0,5.83e-07,5e-07,5.41e-07,5.83e-07,5.83e-07,5.41e-07
5,0,5.83e-07,5.83e-07,5.83e-07,5e-07,5.83e-07,5.42e-07
5,0,5.84e-07,5.42e-07,6.25e-07,5.84e-07,5.83e-07,5.42e-07
5,0,5.83e-07,5.42e-07,5.83e-07,5.83e-07,5.41e-07,5.41e-07
5,0.2,8.34e-07,7.08e-07,7.5e-07,6.67e-07,9.59e-07,8.75e-07
5,0.1,5.84e-07,5.42e-07,6.25e-07,5.83e-07,5.83e-07,5.41e-07
5,0.1,5.84e-07,5e-07,5.42e-07,5.84e-07,5.84e-07,5.84e-07
5,0,5.83e-07,5.83e-07,5e-07,5.41e-07,5.42e-07,5.42e-07
5,0.1,5.83e-07,5.41e-07,5.83e-07,5.41e-07,6.67e-07,5.42e-07
5,0,5.83e-07,5.42e-07,5.84e-07,5.42e-07,5.83e-07,5.41e-07
5,0.1,5.84e-07,5.42e-07,5.84e-07,5.42e-07,5.84e-07,5.42e-07
5,0.2,7.92e-07,6.67e-07,7.5e-07,6.66e-07,1e-06,1e-06
5,0.2,7.5e-07,6.66e-07,7.5e-07,6.67e-07,1.042e-06,9.17e-07
5,0.2,5.83e-07,5e-07,5.42e-07,5.42e-07,5.42e-07,5.42e-07
5,0.1,5.84e-07,5.42e-07,5.42e-07,5.42e-07,5.84e-07,5.42e-07
5,0.1,5.84e-07,5.42e-07,5.83e-07,5.41e-07,5.41e-07,5.41e-07
5,0.1,7.92e-07,7.08e-07,7.91e-07,7.08e-07,1e-06,8.75e-07
5,0,5.42e-07,5.42e-07,5.83e-07,5e-07,5.42e-07,5.84e-07
5,0,5.84e-07,5.42e-07,5.84e-07,5.42e-07,5.83e-07,5e-07
5,0,5.42e-07,5.42e-07,5.84e-07,5.84e-07,5.42e-07,5e-07
5,0.1,5.41e-07,5e-07,5.42e-07,5.42e-07,5.83e-07,5.83e-07
5,0.2,7.08e-07,6.25e-07,7.5e-07,6.67e-07,9.58e-07,9.58e-07
5,0.2,5.84e-07,5.42e-07,6.25e-07,5.42e-07,6.25e-07,5e-07
5,0.1,5.83e-07,5e-07,5.41e-07,5.83e-07,5.84e-07,5e-07
5,0.1,5.42e-07,5e-07,5.84e-07,5e-07,5.84e-07,5.42e-07
5,0,5.84e-07,5e-07,5.41e-07,5.42e-07,5.42e-07,5.42e-07
5,0.2,5.83e-07,5.42e-07,5.84e-07,5.42e-07,5.84e-07,5.84e-07
5,0.3,7.5e-07,6.67e-07,7.09e-07,6.67e-07,1e-06,9.17e-07
5,0,5.42e-07,5.42e-07,6.25e-07,5.42e-07,6.25e-07,5.83e-07
5,0.1,7.5e-07,6.67e-07,7.5e-07,7.5e-07,1.084e-06,9.59e-07
5,0.2,5.83e-07,5e-07,5.84e-07,5.83e-07,5.42e-07,5e-07
